DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-05 00:00:00,9.7,16.0,23.4,46.9, C
2022-02-05 00:05:00,9.8,16.2,23.4,47.0, C
2022-02-05 00:10:00,9.6,15.4,23.4,47.0, C
2022-02-05 00:15:00,7.7,12.0,23.4,47.3, C
2022-02-05 00:20:00,8.7,14.6,23.3,47.5, C
2022-02-05 00:25:00,7.1,11.7,23.3,47.8, C
2022-02-05 00:30:00,7.8,12.6,23.3,48.0, C
2022-02-05 00:35:00,5.7,9.1,23.1,48.2, C
2022-02-05 00:40:00,6.6,10.7,23.0,48.6, C
2022-02-05 00:45:00,6.4,10.7,23.0,48.6, C
2022-02-05 00:50:00,6.8,11.1,22.9,48.8, C
2022-02-05 00:55:00,4.8,7.0,22.8,48.9, C
2022-02-05 01:00:00,5.5,9.0,22.8,49.2, C
2022-02-05 01:05:00,5.3,9.2,22.8,49.2, C
2022-02-05 01:10:00,5.0,7.8,22.8,49.1, C
2022-02-05 01:15:00,4.7,7.8,22.7,49.3, C
2022-02-05 01:20:00,4.5,7.1,22.7,49.4, C
2022-02-05 01:25:00,5.0,8.0,22.7,49.6, C
2022-02-05 01:30:00,5.0,8.0,22.8,49.6, C
2022-02-05 01:35:00,6.3,10.1,22.8,49.4, C
2022-02-05 01:40:00,5.5,8.9,22.8,49.5, C
2022-02-05 01:45:00,5.3,9.3,22.8,49.4, C
2022-02-05 01:50:00,5.4,9.6,22.7,49.5, C
2022-02-05 01:55:00,6.3,10.1,22.7,49.6, C
2022-02-05 02:00:00,6.1,9.7,22.7,49.7, C
2022-02-05 02:05:00,8.0,13.5,22.6,49.7, C
2022-02-05 02:10:00,7.7,12.2,22.5,49.7, C
2022-02-05 02:15:00,6.8,11.3,22.5,49.8, C
2022-02-05 02:20:00,6.0,10.3,22.5,49.6, C
2022-02-05 02:25:00,5.7,9.5,22.6,49.5, C
2022-02-05 08:40:00,1.7,2.9,22.6,45.1, C
2022-02-05 08:45:00,1.6,2.3,22.9,43.5, C
2022-02-05 08:50:00,1.5,2.6,23.0,43.0, C
2022-02-05 08:55:00,1.5,2.0,23.1,43.0, C
2022-02-05 09:00:00,1.7,2.7,23.3,42.1, C
2022-02-05 09:05:00,2.0,3.5,23.6,41.7, C
2022-02-05 09:10:00,2.1,3.6,23.9,41.2, C
2022-02-05 09:15:00,2.2,3.7,24.3,40.2, C
2022-02-05 09:20:00,1.9,3.3,24.0,40.2, C
2022-02-05 09:25:00,1.9,2.8,23.7,40.5, C
2022-02-05 09:30:00,2.2,3.5,23.4,41.0, C
2022-02-05 09:35:00,1.8,2.8,23.3,41.1, C
2022-02-05 09:40:00,1.8,2.7,23.1,41.3, C
2022-02-05 09:45:00,1.3,1.8,23.3,41.4, C
2022-02-05 09:50:00,2.5,4.2,23.8,40.9, C
2022-02-05 09:55:00,1.8,2.7,24.1,40.1, C
2022-02-05 10:00:00,1.5,2.1,24.2,40.1, C
2022-02-05 10:05:00,2.4,3.3,24.6,39.5, C
2022-02-05 10:10:00,2.0,3.0,24.8,38.7, C
2022-02-05 10:15:00,2.1,3.5,24.9,38.5, C
2022-02-05 10:20:00,1.8,3.0,25.1,38.2, C
2022-02-05 10:25:00,2.0,3.1,24.9,37.9, C
2022-02-05 10:30:00,1.7,2.5,24.6,38.4, C
2022-02-05 10:35:00,1.7,2.9,24.5,38.5, C
2022-02-05 10:40:00,1.8,3.0,24.8,38.3, C
2022-02-05 10:45:00,1.8,2.6,25.1,37.8, C
2022-02-05 10:50:00,1.7,2.8,25.5,36.5, C
2022-02-05 10:55:00,1.7,3.0,25.6,35.7, C
2022-02-05 11:00:00,2.2,3.8,26.0,34.9, C
2022-02-05 11:05:00,1.8,2.5,26.4,34.4, C
2022-02-05 11:10:00,1.8,3.0,26.3,34.5, C
2022-02-05 11:15:00,2.1,3.2,26.0,35.0, C
2022-02-05 11:20:00,2.6,4.5,26.1,35.1, C
2022-02-05 11:25:00,2.0,3.0,26.2,34.8, C
2022-02-05 11:30:00,3.0,5.0,26.9,34.1, C
2022-02-05 11:35:00,2.2,2.8,27.8,32.9, C
2022-02-05 11:40:00,2.7,4.5,28.1,31.9, C
2022-02-05 11:45:00,2.9,4.7,27.7,31.9, C
2022-02-05 11:50:00,2.8,4.4,27.1,33.0, C
2022-02-05 11:55:00,2.5,4.4,27.0,33.3, C
2022-02-05 12:00:00,2.3,4.1,26.8,33.5, C
2022-02-05 12:05:00,2.8,4.9,26.4,34.3, C
2022-02-05 12:10:00,2.3,3.5,26.2,35.1, C
2022-02-05 12:15:00,2.2,3.0,26.3,34.3, C
2022-02-05 12:20:00,1.8,2.7,26.6,32.7, C
2022-02-05 12:25:00,1.6,2.6,26.6,31.9, C
2022-02-05 12:30:00,1.9,3.0,26.6,32.1, C
2022-02-05 12:35:00,2.3,3.6,26.5,32.6, C
2022-02-05 12:40:00,2.1,3.3,26.7,32.4, C
2022-02-05 12:45:00,1.6,3.0,26.7,32.3, C
2022-02-05 12:50:00,2.0,3.4,26.7,32.7, C
2022-02-05 12:55:00,1.9,3.3,26.7,32.6, C
2022-02-05 13:00:00,1.9,3.0,27.0,32.0, C
2022-02-05 13:05:00,2.6,4.0,27.0,32.0, C
2022-02-05 13:10:00,2.4,3.9,26.9,32.2, C
2022-02-05 13:15:00,2.3,3.8,26.4,32.9, C
2022-02-05 13:20:00,2.0,3.1,26.4,33.1, C
2022-02-05 13:25:00,2.1,3.1,26.5,33.2, C
2022-02-05 13:30:00,1.7,2.8,26.6,32.1, C
2022-02-05 13:35:00,2.0,3.6,26.9,31.2, C
2022-02-05 13:40:00,2.4,4.4,27.2,31.3, C
2022-02-05 13:45:00,2.9,5.4,27.3,31.1, C
2022-02-05 13:50:00,2.9,4.4,27.4,31.0, C
2022-02-05 13:55:00,1.5,2.7,27.6,29.8, C
2022-02-05 14:00:00,1.5,2.8,27.5,29.9, C
2022-02-05 14:05:00,2.0,2.8,27.8,29.4, C
2022-02-05 14:10:00,1.6,1.8,28.4,28.2, C
2022-02-05 14:15:00,1.2,2.2,27.9,28.3, C
