DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-02 09:25:00,11.1,17.1,25.3,41.9, C
2022-02-02 09:30:00,2.7,5.4,25.9,38.9, C
2022-02-02 09:35:00,2.9,4.8,26.2,38.4, C
2022-02-02 09:40:00,2.1,3.4,27.0,37.4, C
2022-02-02 09:45:00,3.3,5.4,27.1,37.6, C
2022-02-02 09:50:00,2.8,4.6,27.2,37.3, C
2022-02-02 09:55:00,3.0,4.4,27.5,36.6, C
2022-02-02 10:00:00,2.7,4.2,27.9,36.4, C
2022-02-02 10:05:00,2.4,4.1,27.6,37.0, C
2022-02-02 10:10:00,1.9,3.5,26.5,38.6, C
2022-02-02 10:15:00,2.9,4.8,28.1,35.7, C
2022-02-02 10:20:00,4.0,7.3,28.8,35.1, C
2022-02-02 10:25:00,3.3,5.1,28.4,35.3, C
2022-02-02 10:30:00,3.4,6.2,28.3,35.7, C
2022-02-02 10:35:00,2.0,3.2,27.6,37.5, C
2022-02-02 10:40:00,2.8,4.1,28.6,35.3, C
2022-02-02 10:45:00,2.7,4.2,29.2,35.0, C
2022-02-02 10:50:00,2.7,4.0,28.8,35.7, C
2022-02-02 10:55:00,3.8,6.2,29.5,34.7, C
2022-02-02 11:00:00,4.1,6.9,30.1,34.1, C
2022-02-02 11:05:00,3.5,6.3,29.8,34.6, C
2022-02-02 11:10:00,3.5,5.5,29.7,34.5, C
2022-02-02 11:15:00,4.0,6.7,30.7,33.4, C
2022-02-02 11:20:00,3.1,4.8,31.0,33.3, C
2022-02-02 11:25:00,3.7,6.1,30.7,33.9, C
2022-02-02 11:30:00,4.6,7.5,31.1,33.0, C
2022-02-02 11:35:00,3.3,5.3,30.9,33.6, C
2022-02-02 11:40:00,4.1,5.8,31.7,32.7, C
2022-02-02 11:45:00,3.8,6.0,31.9,32.1, C
2022-02-02 11:50:00,2.7,4.6,30.9,33.2, C
2022-02-02 11:55:00,4.8,8.0,32.4,31.9, C
2022-02-02 12:00:00,5.8,9.2,32.8,31.7, C
2022-02-02 12:05:00,3.4,6.3,32.2,32.0, C
2022-02-02 12:10:00,4.4,6.4,32.1,31.3, C
2022-02-02 12:15:00,5.8,10.5,32.5,30.6, C
2022-02-02 12:20:00,2.5,4.3,31.0,32.4, C
2022-02-02 12:25:00,3.7,6.1,32.0,31.2, C
2022-02-02 12:30:00,3.5,5.6,32.5,30.3, C
2022-02-02 12:35:00,5.0,8.0,33.4,29.1, C
2022-02-02 12:40:00,3.2,5.4,31.8,31.1, C
2022-02-02 12:45:00,5.4,7.8,33.7,28.4, C
2022-02-02 12:50:00,5.1,8.5,34.3,27.9, C
2022-02-02 12:55:00,4.7,7.3,33.5,28.5, C
2022-02-02 13:00:00,5.1,8.1,34.1,28.1, C
2022-02-02 13:05:00,4.2,7.3,34.0,28.0, C
2022-02-02 13:10:00,4.4,6.7,34.4,27.6, C
2022-02-02 13:15:00,4.8,7.9,34.4,26.9, C
2022-02-02 13:20:00,5.3,8.2,34.5,26.7, C
2022-02-02 13:25:00,6.2,10.7,35.0,25.4, C
2022-02-02 13:30:00,6.5,10.6,34.9,25.7, C
2022-02-02 13:35:00,5.4,9.2,34.9,25.8, C
2022-02-02 13:40:00,6.0,9.3,35.3,25.3, C
2022-02-02 13:45:00,5.6,8.4,35.3,25.2, C
2022-02-02 13:50:00,5.3,9.0,35.6,25.1, C
2022-02-02 13:55:00,4.4,7.7,36.0,24.6, C
2022-02-02 14:00:00,14.5,25.7,36.4,24.4, C
2022-02-02 14:05:00,6.4,10.6,36.5,24.1, C
2022-02-02 14:10:00,6.0,9.9,36.8,23.9, C
2022-02-02 14:15:00,6.5,10.9,36.7,23.8, C
2022-02-02 14:20:00,5.5,9.4,36.8,23.5, C
2022-02-02 14:25:00,7.8,11.3,36.8,23.6, C
2022-02-02 14:30:00,5.5,8.4,36.9,23.5, C
2022-02-02 14:35:00,7.7,13.0,37.1,23.4, C
2022-02-02 14:40:00,6.1,10.2,36.4,23.9, C
2022-02-02 14:45:00,6.3,9.8,36.1,23.7, C
2022-02-02 14:50:00,6.9,11.4,35.9,23.9, C
2022-02-02 14:55:00,6.7,11.4,36.4,23.7, C
2022-02-02 15:00:00,9.3,14.9,36.9,23.4, C
2022-02-02 15:05:00,9.7,15.5,37.4,22.9, C
2022-02-02 15:10:00,7.5,12.9,37.1,22.4, C
2022-02-02 15:15:00,6.8,10.6,36.0,23.4, C
2022-02-02 15:20:00,6.6,10.3,36.9,22.8, C
2022-02-02 15:25:00,12.0,18.9,37.0,22.4, C
2022-02-02 15:30:00,7.4,11.9,37.0,22.8, C
2022-02-02 15:35:00,7.7,12.4,36.3,23.7, C
2022-02-02 15:40:00,6.3,10.2,36.0,23.9, C
2022-02-02 15:45:00,6.9,10.9,35.8,24.2, C
2022-02-02 15:50:00,6.4,10.1,35.6,24.3, C
2022-02-02 15:55:00,11.8,19.7,35.4,24.4, C
2022-02-02 16:00:00,8.1,12.9,35.5,24.5, C
2022-02-02 16:05:00,12.5,20.9,35.5,23.8, C
2022-02-02 16:10:00,19.0,30.1,35.2,22.9, C
2022-02-02 16:15:00,22.2,36.5,34.7,24.3, C
2022-02-02 16:20:00,17.8,30.2,33.9,25.1, C
2022-02-02 16:25:00,27.2,46.7,33.4,25.0, C
2022-02-02 16:30:00,25.2,42.0,33.2,24.6, C
2022-02-02 16:35:00,24.5,37.3,33.2,24.7, C
2022-02-02 16:40:00,34.4,56.8,33.1,24.7, C
2022-02-02 16:45:00,30.8,50.5,33.0,24.4, C
2022-02-02 16:50:00,35.8,67.6,33.0,24.5, C
2022-02-02 16:55:00,72.2,105.3,32.9,24.7, C
2022-02-02 17:00:00,25.2,39.0,32.8,24.8, C
2022-02-02 17:05:00,24.0,38.9,32.7,25.3, C
2022-02-02 17:10:00,19.5,32.6,32.5,26.2, C
2022-02-02 17:15:00,20.4,34.9,32.3,28.0, C
2022-02-02 17:20:00,21.0,34.5,31.5,30.5, C
2022-02-02 17:25:00,18.2,30.8,30.8,32.7, C
2022-02-02 17:30:00,19.2,31.4,83.6,34.6,F
2022-02-02 17:35:00,18.8,30.9,30.1,33.6, C
2022-02-02 17:40:00,22.3,35.4,29.7,34.7, C
2022-02-02 17:45:00,23.1,38.6,29.5,34.4, C
2022-02-02 17:50:00,21.2,35.6,29.4,33.9, C
2022-02-02 17:55:00,19.6,31.8,29.4,33.1, C
2022-02-02 18:00:00,18.6,32.3,29.6,32.5, C
2022-02-02 18:05:00,19.1,31.6,29.8,31.6, C
2022-02-02 18:10:00,23.4,37.3,30.0,30.8, C
2022-02-02 18:15:00,22.7,37.1,30.3,30.4, C
2022-02-02 18:20:00,25.9,43.6,30.4,30.4, C
2022-02-02 18:25:00,21.5,35.2,30.5,30.1, C
2022-02-02 18:30:00,22.0,35.9,30.6,30.0, C
2022-02-02 18:35:00,23.0,38.1,30.8,29.6, C
2022-02-02 18:40:00,23.0,37.6,30.8,29.8, C
2022-02-02 18:45:00,24.1,36.4,30.7,30.1, C
2022-02-02 18:50:00,24.5,42.5,30.4,31.7, C
2022-02-02 18:55:00,22.0,37.5,29.7,33.5, C
2022-02-02 19:00:00,20.2,34.0,28.8,35.9, C
2022-02-02 19:05:00,15.9,25.8,28.5,36.3, C
2022-02-02 19:10:00,17.7,29.5,28.3,36.7, C
2022-02-02 19:15:00,16.9,28.5,27.7,38.2, C
2022-02-02 19:20:00,12.6,22.2,27.1,39.0, C
2022-02-02 19:25:00,10.6,17.6,27.1,38.7, C
2022-02-02 19:30:00,9.7,16.0,26.9,39.2, C
2022-02-02 19:35:00,9.2,15.6,26.9,39.1, C
2022-02-02 19:40:00,9.1,15.1,26.6,40.1, C
2022-02-02 19:45:00,9.0,15.8,26.0,42.1, C
