DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-04 00:00:00,26.5,44.7,22.8,57.9, C
2022-02-04 00:05:00,25.8,44.3,22.8,58.3, C
2022-02-04 00:10:00,25.5,43.4,22.9,58.3, C
2022-02-04 00:15:00,25.9,43.9,23.0,58.2, C
2022-02-04 00:20:00,26.0,43.8,23.0,58.1, C
2022-02-04 00:25:00,26.5,44.8,22.9,58.4, C
2022-02-04 00:30:00,27.1,45.0,22.9,58.6, C
2022-02-04 00:35:00,26.8,44.5,22.7,59.3, C
2022-02-04 00:40:00,29.1,50.5,22.5,59.8, C
2022-02-04 00:45:00,27.8,46.7,22.7,59.4, C
2022-02-04 00:50:00,29.2,49.1,22.6,59.6, C
2022-02-04 00:55:00,28.5,48.5,22.6,59.7, C
2022-02-04 01:00:00,27.0,45.5,22.5,59.7, C
2022-02-04 01:05:00,26.0,43.3,22.3,60.6, C
2022-02-04 01:10:00,28.5,46.5,22.5,60.0, C
2022-02-04 01:15:00,25.1,42.0,22.3,60.8, C
2022-02-04 01:20:00,26.2,42.4,22.3,61.0, C
2022-02-04 01:25:00,25.6,43.0,22.3,61.1, C
2022-02-04 01:30:00,25.4,44.2,22.2,61.3, C
2022-02-04 01:35:00,25.0,42.4,22.2,61.4, C
2022-02-04 01:40:00,23.1,40.0,22.2,61.6, C
2022-02-04 01:45:00,23.0,37.8,22.1,62.1, C
2022-02-04 01:50:00,24.9,41.4,22.2,61.8, C
2022-02-04 01:55:00,24.3,41.8,22.0,62.2, C
2022-02-04 02:00:00,23.7,39.8,21.9,62.4, C
2022-02-04 02:05:00,23.7,41.3,21.8,62.5, C
2022-02-04 02:10:00,24.5,41.3,21.7,63.0, C
2022-02-04 02:15:00,23.1,39.6,22.0,62.0, C
2022-02-04 02:20:00,21.7,35.8,22.1,61.4, C
2022-02-04 02:25:00,22.7,36.8,22.1,61.1, C
2022-02-04 02:30:00,23.8,39.4,22.0,60.7, C
2022-02-04 02:35:00,22.8,37.3,22.0,60.7, C
2022-02-04 02:40:00,21.3,34.9,22.0,60.7, C
2022-02-04 02:45:00,20.7,35.0,21.9,61.2, C
2022-02-04 08:50:00,29.4,49.0,23.1,61.5, C
2022-02-04 08:55:00,33.6,59.8,23.9,56.0, C
2022-02-04 09:00:00,33.9,59.5,24.0,55.4, C
2022-02-04 09:05:00,32.0,56.5,24.0,55.2, C
2022-02-04 09:10:00,30.3,52.9,24.0,54.7, C
2022-02-04 09:15:00,25.1,43.1,24.0,54.4, C
2022-02-04 09:20:00,26.5,44.8,24.0,53.8, C
2022-02-04 09:25:00,25.2,44.3,23.9,54.0, C
2022-02-04 09:30:00,24.2,41.5,24.0,53.6, C
2022-02-04 09:35:00,23.0,38.3,24.2,53.1, C
2022-02-04 09:40:00,24.8,43.4,24.2,52.6, C
