DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-07 07:50:00,7.1,12.2,20.5,43.9, C
2022-02-07 07:55:00,5.3,9.6,23.8,37.3, C
2022-02-07 08:00:00,5.4,9.4,26.3,33.1, C
2022-02-07 08:05:00,4.9,8.2,28.2,30.3, C
2022-02-07 08:10:00,4.6,7.2,28.5,29.3, C
2022-02-07 08:15:00,8.5,14.3,25.4,34.1, C
2022-02-07 08:20:00,26.5,41.7,23.4,37.9, C
2022-02-07 08:25:00,9.7,17.0,22.8,39.5, C
2022-02-07 08:30:00,6.8,14.7,22.1,41.0, C
2022-02-07 08:35:00,10.0,17.1,22.1,41.6, C
2022-02-07 08:40:00,4.3,7.0,21.9,42.1, C
2022-02-07 08:45:00,2.9,5.4,21.6,43.2, C
2022-02-07 08:50:00,5.8,8.1,21.5,44.0, C
2022-02-07 08:55:00,20.9,34.6,21.4,44.3, C
2022-02-07 09:00:00,5.0,7.6,21.7,43.5, C
2022-02-07 09:05:00,3.5,6.0,21.6,43.8, C
2022-02-07 09:10:00,5.8,9.9,21.7,43.5, C
2022-02-07 09:15:00,6.8,12.0,22.0,43.2, C
2022-02-07 09:20:00,3.8,6.0,22.1,42.4, C
2022-02-07 09:25:00,2.7,7.0,22.0,42.2, C
2022-02-07 09:30:00,4.7,8.3,22.2,42.4, C
2022-02-07 09:35:00,3.8,7.3,22.4,42.0, C
2022-02-07 09:40:00,4.0,7.2,22.7,41.3, C
2022-02-07 09:45:00,2.6,4.3,23.0,40.0, C
2022-02-07 09:50:00,2.8,4.7,22.9,40.1, C
2022-02-07 09:55:00,2.5,4.9,23.1,40.0, C
2022-02-07 10:00:00,2.0,3.8,23.2,39.8, C
2022-02-07 10:05:00,2.3,4.4,23.4,39.3, C
2022-02-07 10:10:00,3.8,5.4,23.7,38.7, C
2022-02-07 10:15:00,2.9,5.0,24.1,37.7, C
2022-02-07 10:20:00,2.4,4.1,24.3,37.1, C
2022-02-07 10:25:00,1.9,3.4,24.4,36.9, C
2022-02-07 10:30:00,2.8,4.6,24.8,36.1, C
2022-02-07 10:35:00,3.0,4.3,24.7,36.5, C
2022-02-07 10:40:00,3.2,5.2,25.0,35.4, C
2022-02-07 10:45:00,1.6,2.9,24.9,35.0, C
2022-02-07 10:50:00,3.8,6.7,25.0,35.1, C
2022-02-07 10:55:00,2.7,5.0,25.1,34.8, C
2022-02-07 11:00:00,2.5,3.5,25.4,34.5, C
2022-02-07 11:05:00,1.9,3.3,25.6,34.2, C
2022-02-07 11:10:00,2.5,4.1,25.6,34.3, C
2022-02-07 11:15:00,2.2,4.0,25.9,33.6, C
2022-02-07 11:20:00,1.7,3.2,26.3,32.5, C
2022-02-07 11:25:00,1.9,3.5,26.2,32.6, C
2022-02-07 11:30:00,2.0,3.2,26.2,32.4, C
2022-02-07 11:35:00,4.9,7.9,26.5,32.6, C
2022-02-07 11:40:00,4.3,7.2,26.7,32.2, C
2022-02-07 11:45:00,2.6,4.4,26.8,31.6, C
2022-02-07 11:50:00,2.4,3.9,27.0,31.6, C
2022-02-07 11:55:00,3.6,5.2,27.0,31.1, C
2022-02-07 12:00:00,1.7,2.3,27.4,30.0, C
2022-02-07 12:05:00,1.8,3.2,27.3,29.0, C
2022-02-07 12:10:00,8.3,13.9,27.2,29.3, C
2022-02-07 12:15:00,17.4,27.1,27.4,29.8, C
2022-02-07 12:20:00,2.1,3.4,27.5,29.1, C
2022-02-07 12:25:00,2.7,4.3,27.4,29.0, C
2022-02-07 12:30:00,2.7,4.1,27.4,29.4, C
2022-02-07 12:35:00,2.8,4.9,27.4,29.5, C
2022-02-07 12:40:00,2.9,5.0,27.6,29.5, C
2022-02-07 12:45:00,2.9,5.4,27.4,30.0, C
2022-02-07 12:50:00,3.6,6.9,27.8,29.3, C
2022-02-07 12:55:00,3.4,5.7,28.0,28.8, C
2022-02-07 13:00:00,3.6,5.6,28.3,28.3, C
2022-02-07 13:05:00,3.4,6.2,28.5,28.2, C
2022-02-07 13:10:00,3.7,5.8,28.6,27.9, C
2022-02-07 13:15:00,6.0,10.3,28.6,28.0, C
2022-02-07 13:20:00,3.5,5.3,28.2,28.2, C
2022-02-07 13:25:00,3.5,5.4,27.8,29.1, C
2022-02-07 13:30:00,4.8,8.6,27.6,29.7, C
2022-02-07 13:35:00,3.7,6.6,27.6,29.4, C
2022-02-07 13:40:00,4.2,6.3,27.8,29.4, C
2022-02-07 13:45:00,3.0,4.9,28.1,28.4, C
2022-02-07 13:50:00,2.9,5.0,28.3,28.5, C
2022-02-07 13:55:00,4.3,7.6,28.6,28.4, C
2022-02-07 14:00:00,3.5,6.2,28.5,28.3, C
2022-02-07 14:05:00,3.1,5.3,28.6,28.4, C
2022-02-07 14:10:00,2.3,3.9,28.7,27.6, C
2022-02-07 14:15:00,2.9,5.0,28.5,28.3, C
2022-02-07 14:20:00,3.1,5.1,28.3,28.3, C
2022-02-07 14:25:00,3.0,5.4,27.7,28.9, C
2022-02-07 14:30:00,3.0,4.9,27.3,29.8, C
2022-02-07 14:35:00,2.4,4.4,27.4,29.9, C
2022-02-07 14:40:00,3.4,5.0,27.7,29.3, C
2022-02-07 14:45:00,2.3,4.0,27.5,29.1, C
2022-02-07 14:50:00,2.7,4.5,27.0,29.8, C
2022-02-07 14:55:00,2.9,5.1,26.7,30.9, C
2022-02-07 15:00:00,2.6,4.3,26.7,30.4, C
2022-02-07 15:05:00,2.9,4.9,26.6,30.5, C
2022-02-07 15:10:00,3.5,5.9,26.6,30.5, C
2022-02-07 15:15:00,4.0,6.3,26.8,30.4, C
2022-02-07 15:20:00,3.9,6.5,27.0,29.8, C
2022-02-07 15:25:00,2.8,4.7,27.1,29.2, C
2022-02-07 15:30:00,3.0,4.9,27.2,29.1, C
2022-02-07 15:35:00,3.0,6.1,27.4,29.0, C
2022-02-07 15:40:00,2.6,3.7,27.5,28.5, C
2022-02-07 15:45:00,1.4,2.5,27.1,28.8, C
2022-02-07 15:50:00,1.8,3.1,26.9,29.0, C
2022-02-07 15:55:00,1.8,2.9,26.4,29.7, C
2022-02-07 16:00:00,1.6,2.8,26.4,29.8, C
2022-02-07 16:05:00,2.2,3.7,26.5,29.9, C
2022-02-07 16:10:00,1.6,2.4,26.7,29.3, C
2022-02-07 16:15:00,1.9,3.1,27.0,28.9, C
2022-02-07 16:20:00,2.1,3.7,27.4,28.6, C
