DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-03 09:30:00,17.3,28.1,23.7,53.5, C
2022-02-03 09:35:00,17.1,28.0,23.8,52.3, C
2022-02-03 09:40:00,17.8,29.5,23.8,52.8, C
2022-02-03 09:45:00,17.5,28.1,23.8,53.1, C
2022-02-03 09:50:00,17.7,30.4,23.7,53.6, C
2022-02-03 09:55:00,17.8,29.9,23.8,53.4, C
2022-02-03 10:00:00,19.5,33.5,23.5,54.7, C
2022-02-03 10:05:00,15.3,26.9,23.0,56.6, C
2022-02-03 10:10:00,21.4,35.7,23.4,55.7, C
2022-02-03 10:15:00,20.7,33.8,23.6,54.9, C
2022-02-03 10:20:00,18.9,31.4,22.5,58.8, C
2022-02-03 10:25:00,22.2,37.3,23.5,55.5, C
2022-02-03 10:30:00,17.7,29.7,23.3,55.7, C
2022-02-03 10:35:00,18.3,30.9,24.1,53.8, C
2022-02-03 10:40:00,15.0,24.8,24.2,52.9, C
2022-02-03 10:45:00,16.4,27.4,23.4,55.4, C
2022-02-03 10:50:00,16.2,27.9,23.5,55.3, C
2022-02-03 10:55:00,16.2,26.7,23.7,54.9, C
2022-02-03 11:00:00,14.8,24.6,23.5,55.2, C
2022-02-03 11:05:00,12.1,19.6,22.2,59.3, C
2022-02-03 11:10:00,11.4,18.0,21.4,62.1, C
2022-02-03 11:15:00,17.6,30.4,23.0,57.3, C
2022-02-03 11:20:00,16.8,26.4,22.2,60.0, C
2022-02-03 11:25:00,18.2,29.1,22.8,58.5, C
2022-02-03 11:30:00,12.7,21.0,22.1,60.4, C
2022-02-03 11:35:00,19.3,33.1,22.8,57.9, C
2022-02-03 11:40:00,15.8,24.8,21.8,60.9, C
2022-02-03 11:45:00,17.7,30.1,23.3,56.9, C
2022-02-03 11:50:00,17.4,29.7,23.5,56.2, C
2022-02-03 11:55:00,10.0,14.8,21.0,64.0, C
2022-02-03 12:00:00,18.2,31.0,22.6,59.3, C
2022-02-03 12:05:00,17.7,29.1,24.1,55.4, C
2022-02-03 12:10:00,18.3,28.9,24.9,53.3, C
2022-02-03 12:15:00,17.5,27.7,25.2,52.4, C
2022-02-03 12:20:00,16.9,27.9,25.2,52.0, C
2022-02-03 12:25:00,15.4,26.2,24.3,54.7, C
2022-02-03 12:30:00,15.2,24.7,24.1,55.3, C
2022-02-03 12:35:00,14.7,25.0,24.0,56.3, C
2022-02-03 12:40:00,12.8,21.5,24.0,56.5, C
2022-02-03 12:45:00,18.5,30.2,24.8,54.2, C
2022-02-03 12:50:00,17.9,29.5,25.1,53.5, C
2022-02-03 12:55:00,17.2,28.9,25.3,53.1, C
2022-02-03 13:00:00,15.1,24.9,24.6,55.1, C
2022-02-03 13:05:00,17.7,30.3,26.0,51.6, C
2022-02-03 13:10:00,17.6,28.8,26.8,50.2, C
2022-02-03 13:15:00,17.4,28.5,27.8,47.7, C
2022-02-03 13:20:00,16.5,27.8,28.5,46.1, C
2022-02-03 13:25:00,18.5,30.5,28.9,45.3, C
2022-02-03 13:30:00,17.1,27.3,29.0,45.0, C
2022-02-03 13:35:00,17.4,28.0,28.8,45.5, C
2022-02-03 13:40:00,17.7,28.9,29.2,45.0, C
2022-02-03 13:45:00,15.2,24.5,28.7,45.9, C
2022-02-03 13:50:00,16.1,26.9,28.9,45.5, C
2022-02-03 13:55:00,14.6,23.0,28.9,45.0, C
2022-02-03 14:00:00,13.4,22.3,29.9,43.0, C
2022-02-03 14:05:00,13.4,22.7,30.3,42.1, C
2022-02-03 14:10:00,15.0,25.0,29.8,42.7, C
2022-02-03 14:15:00,12.1,18.9,29.6,43.0, C
2022-02-03 14:20:00,13.6,21.3,29.6,43.1, C
2022-02-03 14:25:00,13.5,22.4,29.1,44.6, C
2022-02-03 14:30:00,11.9,19.5,28.9,44.4, C
2022-02-03 14:35:00,12.1,20.3,29.0,43.7, C
2022-02-03 14:40:00,11.9,19.8,29.0,43.7, C
2022-02-03 14:45:00,11.5,18.8,29.3,43.6, C
2022-02-03 14:50:00,12.2,19.6,29.4,43.0, C
2022-02-03 14:55:00,12.6,20.5,29.4,43.5, C
2022-02-03 15:00:00,12.6,19.9,29.2,43.7, C
2022-02-03 15:05:00,13.3,22.3,29.1,43.9, C
2022-02-03 15:10:00,12.3,20.9,29.0,43.5, C
2022-02-03 15:15:00,12.3,20.9,29.0,43.4, C
2022-02-03 15:20:00,11.3,18.3,29.0,43.1, C
2022-02-03 15:25:00,12.2,19.0,29.0,43.1, C
2022-02-03 15:30:00,12.3,19.8,29.1,43.2, C
2022-02-03 15:35:00,12.2,20.7,29.2,42.7, C
2022-02-03 15:40:00,11.2,17.9,29.4,41.9, C
2022-02-03 15:45:00,10.2,15.9,29.5,41.4, C
2022-02-03 15:50:00,11.1,18.1,29.4,41.3, C
2022-02-03 15:55:00,10.9,17.8,29.4,40.7, C
2022-02-03 16:00:00,10.5,17.5,29.5,40.4, C
2022-02-03 16:05:00,11.2,18.6,29.4,40.2, C
2022-02-03 16:10:00,11.2,18.6,29.4,41.5, C
2022-02-03 16:15:00,10.2,17.0,28.3,44.6, C
2022-02-03 16:20:00,11.1,17.7,28.3,44.4, C
2022-02-03 16:25:00,10.6,17.8,28.5,44.0, C
2022-02-03 16:30:00,12.0,19.5,28.7,43.3, C
2022-02-03 16:35:00,9.9,16.5,28.3,44.7, C
2022-02-03 16:40:00,9.8,17.7,28.2,44.6, C
2022-02-03 16:45:00,11.5,19.9,28.1,45.0, C
2022-02-03 16:50:00,12.0,19.6,27.9,45.6, C
2022-02-03 16:55:00,11.4,18.8,27.9,45.9, C
2022-02-03 17:00:00,11.8,18.8,27.8,45.8, C
2022-02-03 17:05:00,13.0,21.1,27.6,46.1, C
2022-02-03 17:10:00,11.9,21.0,27.5,46.1, C
2022-02-03 17:15:00,12.7,21.1,27.2,47.1, C
2022-02-03 17:20:00,13.5,22.2,27.4,46.6, C
2022-02-03 17:25:00,12.6,20.1,26.7,48.1, C
2022-02-03 17:30:00,13.1,21.9,26.9,47.5, C
2022-02-03 17:35:00,14.3,24.2,27.1,47.0, C
