DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-09 00:00:00,1.8,2.7,20.1,43.9, C
2022-02-09 00:05:00,2.3,3.9,20.0,44.1, C
2022-02-09 00:10:00,1.9,3.2,19.8,45.0, C
2022-02-09 00:15:00,2.0,3.3,19.8,44.8, C
2022-02-09 00:20:00,2.6,5.2,20.0,44.0, C
2022-02-09 00:25:00,2.5,4.1,20.0,44.1, C
2022-02-09 00:30:00,1.8,3.3,19.7,44.7, C
2022-02-09 00:35:00,1.8,2.6,19.8,44.2, C
2022-02-09 00:40:00,1.7,2.9,19.7,44.8, C
2022-02-09 00:45:00,1.8,2.9,19.7,44.7, C
2022-02-09 00:50:00,2.2,3.5,19.8,44.5, C
2022-02-09 00:55:00,1.7,2.2,19.5,45.1, C
2022-02-09 01:00:00,1.9,3.2,19.7,44.8, C
2022-02-09 01:05:00,2.2,3.1,19.7,44.7, C
2022-02-09 01:10:00,2.4,4.4,19.7,44.5, C
2022-02-09 01:15:00,2.0,3.4,19.8,44.5, C
2022-02-09 01:20:00,1.8,3.0,19.7,44.1, C
2022-02-09 01:25:00,2.1,4.0,19.6,44.0, C
2022-02-09 01:30:00,2.0,3.4,19.5,44.0, C
2022-02-09 01:35:00,2.4,4.4,19.6,43.8, C
2022-02-09 01:40:00,2.0,3.5,19.7,43.8, C
2022-02-09 01:45:00,1.9,3.2,19.8,43.7, C
2022-02-09 01:50:00,2.5,4.3,19.8,43.6, C
2022-02-09 01:55:00,1.7,3.0,19.9,43.4, C
2022-02-09 02:00:00,2.1,3.5,19.9,43.4, C
2022-02-09 02:05:00,1.7,3.5,19.7,43.5, C
2022-02-09 02:10:00,2.0,3.7,19.4,43.9, C
2022-02-09 02:15:00,2.2,3.5,18.9,45.9, C
2022-02-09 02:20:00,1.9,2.6,19.2,45.0, C
2022-02-09 02:25:00,1.8,2.9,19.1,45.0, C
2022-02-09 02:30:00,2.2,3.7,18.8,46.6, C
2022-02-09 02:35:00,1.3,2.1,18.8,46.9, C
2022-02-09 02:40:00,2.2,3.5,18.7,47.9, C
2022-02-09 02:45:00,2.2,3.2,18.8,47.8, C
2022-02-09 02:50:00,1.9,3.0,18.4,49.4, C
2022-02-09 02:55:00,1.9,3.3,18.6,49.3, C
2022-02-09 03:00:00,2.3,3.9,18.6,49.7, C
2022-02-09 03:05:00,1.9,2.8,18.6,50.4, C
2022-02-09 03:10:00,1.9,3.5,18.6,50.7, C
