DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-10 00:00:00,2.2,3.9,22.2,38.1, C
2022-02-10 00:05:00,2.9,4.7,22.4,37.2, C
2022-02-10 00:10:00,3.2,5.5,22.4,37.3, C
2022-02-10 00:15:00,2.2,3.6,22.3,37.5, C
2022-02-10 00:20:00,2.9,5.2,22.2,37.8, C
2022-02-10 00:25:00,3.0,4.7,22.2,37.8, C
2022-02-10 00:30:00,2.9,4.3,22.2,37.5, C
2022-02-10 00:35:00,2.7,4.9,22.1,37.7, C
2022-02-10 00:40:00,2.9,4.1,21.6,39.1, C
2022-02-10 00:45:00,2.7,4.4,21.6,39.1, C
2022-02-10 00:50:00,3.9,6.4,21.6,39.1, C
2022-02-10 00:55:00,3.3,5.1,21.6,39.0, C
2022-02-10 01:00:00,3.3,5.7,21.6,39.1, C
2022-02-10 01:05:00,3.1,5.4,21.6,39.0, C
2022-02-10 01:10:00,3.1,5.2,21.6,39.1, C
2022-02-10 01:15:00,2.6,4.5,21.6,39.0, C
2022-02-10 01:20:00,2.5,3.5,21.5,39.0, C
2022-02-10 01:25:00,3.3,5.6,21.5,38.9, C
2022-02-10 01:30:00,3.2,5.3,21.5,38.7, C
2022-02-10 01:35:00,3.1,5.3,21.4,38.6, C
2022-02-10 01:40:00,3.6,6.4,21.5,38.6, C
2022-02-10 01:45:00,3.5,6.4,21.1,39.2, C
2022-02-10 01:50:00,3.9,6.2,21.0,39.1, C
2022-02-10 01:55:00,3.5,6.0,21.1,39.5, C
2022-02-10 02:00:00,3.4,5.8,20.9,39.7, C
2022-02-10 02:05:00,3.5,5.7,20.8,39.8, C
2022-02-10 02:10:00,3.2,5.1,20.5,39.9, C
2022-02-10 02:15:00,3.0,5.7,20.6,39.5, C
2022-02-10 02:20:00,2.8,5.0,20.6,39.6, C
2022-02-10 02:25:00,2.1,3.7,19.8,41.6, C
2022-02-10 02:30:00,2.3,3.8,20.1,40.7, C
2022-02-10 02:35:00,2.8,4.7,19.9,41.7, C
2022-02-10 02:40:00,1.6,2.7,19.7,42.0, C
2022-02-10 02:45:00,2.6,4.3,19.9,41.4, C
2022-02-10 02:50:00,2.1,3.3,19.7,41.9, C
2022-02-10 02:55:00,1.8,2.8,19.8,41.4, C
2022-02-10 03:00:00,2.5,3.8,20.1,41.1, C
2022-02-10 03:05:00,2.2,3.7,20.0,41.5, C
2022-02-10 03:10:00,2.1,3.8,20.1,41.0, C
2022-02-10 03:15:00,2.5,4.3,19.6,42.1, C
2022-02-10 03:20:00,2.7,4.6,19.9,41.6, C
2022-02-10 03:25:00,3.0,4.5,20.0,41.5, C
2022-02-10 03:30:00,3.1,5.9,19.9,41.8, C
2022-02-10 03:35:00,2.3,3.8,19.9,41.7, C
2022-02-10 03:40:00,2.1,3.3,19.4,42.8, C
2022-02-10 03:45:00,2.1,3.5,19.8,42.0, C
2022-02-10 03:50:00,2.7,4.0,19.3,43.3, C
2022-02-10 03:55:00,2.7,4.6,19.2,43.8, C
2022-02-10 04:00:00,1.7,2.8,19.0,44.0, C
2022-02-10 04:05:00,2.3,3.8,19.2,43.6, C
2022-02-10 04:10:00,2.7,4.1,19.0,44.0, C
2022-02-10 04:15:00,2.7,4.6,18.9,44.7, C
2022-02-10 04:20:00,2.5,4.5,19.0,44.2, C
2022-02-10 04:25:00,2.1,3.9,19.1,44.1, C
2022-02-10 04:30:00,2.2,3.6,19.0,44.4, C
2022-02-10 04:35:00,2.6,4.5,18.8,45.2, C
2022-02-10 04:40:00,2.8,4.8,19.0,44.2, C
2022-02-10 04:45:00,1.6,2.8,18.4,46.4, C
2022-02-10 04:50:00,2.1,3.3,18.5,45.9, C
2022-02-10 04:55:00,2.8,4.2,19.1,44.2, C
2022-02-10 05:00:00,2.1,3.8,18.8,45.2, C
2022-02-10 05:05:00,2.1,3.8,18.6,45.7, C
2022-02-10 05:10:00,2.9,4.4,18.9,45.1, C
2022-02-10 05:15:00,2.1,3.8,18.5,46.3, C
2022-02-10 05:20:00,2.6,4.5,18.6,46.1, C
2022-02-10 05:25:00,2.3,3.7,18.3,46.6, C
2022-02-10 05:30:00,2.5,4.4,18.0,47.7, C
2022-02-10 05:35:00,2.4,3.7,18.3,47.1, C
2022-02-10 05:40:00,2.0,3.4,18.2,47.4, C
2022-02-10 05:45:00,2.7,4.1,18.5,46.5, C
2022-02-10 05:50:00,2.3,3.6,18.6,46.2, C
2022-02-10 05:55:00,2.3,4.1,18.6,46.3, C
2022-02-10 06:00:00,1.9,3.4,18.4,46.7, C
2022-02-10 06:05:00,2.2,3.6,18.1,47.8, C
2022-02-10 06:10:00,2.7,4.5,18.4,47.0, C
2022-02-10 06:15:00,2.6,4.0,18.2,47.8, C
