DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-11 00:00:00,3.5,5.8,24.4,37.8, C
2022-02-11 00:05:00,3.6,6.4,24.4,38.4, C
2022-02-11 00:10:00,3.7,5.9,24.1,39.0, C
2022-02-11 00:15:00,3.3,5.4,23.9,39.2, C
2022-02-11 00:20:00,3.8,6.3,23.7,39.7, C
2022-02-11 00:25:00,4.4,7.6,23.6,39.7, C
2022-02-11 00:30:00,3.1,5.2,23.6,39.7, C
2022-02-11 00:35:00,4.2,6.2,23.5,39.6, C
2022-02-11 00:40:00,5.0,8.3,23.6,39.4, C
2022-02-11 00:45:00,3.8,6.5,23.5,39.2, C
2022-02-11 00:50:00,3.6,5.5,23.3,39.4, C
2022-02-11 00:55:00,3.8,6.0,23.2,39.7, C
2022-02-11 01:00:00,3.7,6.1,23.2,40.0, C
2022-02-11 01:05:00,3.7,6.1,23.0,40.2, C
2022-02-11 01:10:00,3.8,6.0,23.0,39.9, C
2022-02-11 01:15:00,4.7,7.6,23.0,39.7, C
2022-02-11 01:20:00,4.3,6.8,22.8,40.2, C
2022-02-11 01:25:00,3.9,5.6,22.7,40.1, C
2022-02-11 01:30:00,3.4,5.5,22.7,40.2, C
2022-02-11 01:35:00,4.1,7.0,22.6,40.4, C
2022-02-11 01:40:00,3.9,7.2,22.6,40.9, C
2022-02-11 01:45:00,3.7,6.5,22.5,41.2, C
2022-02-11 01:50:00,4.0,6.1,22.3,41.7, C
2022-02-11 01:55:00,4.2,7.4,22.3,41.9, C
2022-02-11 02:00:00,3.5,6.3,22.1,42.5, C
2022-02-11 02:05:00,4.2,6.7,22.0,42.7, C
2022-02-11 02:10:00,4.2,6.7,21.9,43.3, C
2022-02-11 02:15:00,4.8,7.4,21.8,43.3, C
2022-02-11 02:20:00,4.2,6.9,21.8,43.0, C
2022-02-11 02:25:00,4.5,6.9,21.7,43.0, C
2022-02-11 02:30:00,4.3,7.9,21.7,42.9, C
2022-02-11 02:35:00,3.8,6.4,21.7,43.1, C
2022-02-11 02:40:00,4.9,8.3,21.5,43.5, C
2022-02-11 02:45:00,4.8,6.8,21.5,43.6, C
2022-02-11 02:50:00,4.6,7.8,21.5,43.8, C
2022-02-11 02:55:00,4.3,6.8,21.5,44.0, C
2022-02-11 03:00:00,4.2,7.1,21.5,44.3, C
2022-02-11 03:05:00,4.2,6.9,21.5,44.5, C
2022-02-11 03:10:00,4.3,7.0,21.4,44.6, C
2022-02-11 03:15:00,4.0,6.3,21.4,44.5, C
2022-02-11 03:20:00,4.0,6.7,21.4,44.7, C
2022-02-11 03:25:00,4.0,6.0,21.3,44.8, C
2022-02-11 03:30:00,5.0,8.3,21.3,44.9, C
2022-02-11 03:35:00,4.0,6.5,21.3,44.9, C
2022-02-11 03:40:00,4.1,6.7,21.3,44.9, C
2022-02-11 03:45:00,3.5,5.2,21.3,45.0, C
2022-02-11 03:50:00,3.6,5.7,21.2,45.0, C
2022-02-11 03:55:00,4.2,6.4,21.2,45.2, C
2022-02-11 04:00:00,4.1,7.2,21.2,45.2, C
2022-02-11 04:05:00,3.6,5.9,21.3,45.1, C
2022-02-11 04:10:00,3.2,5.6,21.2,44.9, C
2022-02-11 04:15:00,3.8,7.0,21.3,44.8, C
2022-02-11 04:20:00,2.8,4.8,21.2,45.0, C
2022-02-11 04:25:00,3.1,5.6,21.3,44.7, C
2022-02-11 04:30:00,3.5,5.6,21.3,44.7, C
2022-02-11 04:35:00,3.1,5.0,21.3,44.6, C
2022-02-11 04:40:00,2.4,4.2,21.4,44.4, C
2022-02-11 04:45:00,2.9,4.6,21.3,44.8, C
2022-02-11 04:50:00,3.1,4.8,21.3,44.4, C
2022-02-11 04:55:00,3.0,5.1,21.4,44.3, C
2022-02-11 05:00:00,2.6,3.7,21.2,44.5, C
2022-02-11 05:05:00,2.7,4.8,21.3,44.4, C
2022-02-11 05:10:00,2.5,4.4,21.2,44.4, C
2022-02-11 05:15:00,2.6,4.3,21.2,44.4, C
2022-02-11 05:20:00,2.8,4.7,21.2,44.4, C
2022-02-11 05:25:00,2.5,4.4,21.3,44.1, C
2022-02-11 05:30:00,2.7,5.0,21.3,44.4, C
2022-02-11 05:35:00,3.5,5.6,21.4,44.7, C
2022-02-11 05:40:00,2.9,4.6,21.2,44.8, C
2022-02-11 05:45:00,2.9,4.6,21.3,45.0, C
2022-02-11 05:50:00,3.3,6.0,21.3,45.1, C
2022-02-11 05:55:00,2.4,4.4,21.2,45.4, C
2022-02-11 06:00:00,2.4,3.9,21.2,45.3, C
2022-02-11 06:05:00,2.4,4.2,21.3,45.3, C
2022-02-11 06:10:00,2.7,4.9,21.2,45.0, C
2022-02-11 06:15:00,2.7,4.2,21.2,45.1, C
2022-02-11 06:20:00,2.6,4.2,21.3,45.0, C
2022-02-11 06:25:00,3.0,4.7,21.2,45.0, C
2022-02-11 06:30:00,2.7,4.4,21.2,45.2, C
2022-02-11 06:35:00,2.9,5.1,21.2,45.3, C
2022-02-11 06:40:00,3.0,4.8,21.1,45.3, C
2022-02-11 06:45:00,2.7,3.9,21.1,45.3, C
2022-02-11 06:50:00,2.5,4.3,21.2,45.4, C
2022-02-11 06:55:00,2.8,4.8,21.3,45.3, C
2022-02-11 07:00:00,2.9,5.0,21.4,45.1, C
2022-02-11 07:05:00,3.9,6.1,21.6,44.9, C
2022-02-11 07:10:00,3.3,5.1,22.4,42.9, C
2022-02-11 07:15:00,4.0,6.9,23.3,41.0, C
2022-02-11 07:20:00,4.1,6.3,24.0,39.7, C
2022-02-11 07:25:00,3.6,6.0,24.3,39.2, C
2022-02-11 07:30:00,3.7,6.5,24.5,38.7, C
2022-02-11 07:35:00,3.5,6.0,24.3,39.2, C
2022-02-11 07:40:00,3.8,6.4,25.6,36.8, C
2022-02-11 07:45:00,3.9,6.1,27.2,34.2, C
2022-02-11 07:50:00,3.9,6.7,28.4,32.3, C
2022-02-11 08:35:00,4.9,8.1,25.2,38.0, C
2022-02-11 08:40:00,6.2,10.7,25.3,37.8, C
2022-02-11 08:45:00,4.9,7.9,25.3,37.9, C
2022-02-11 08:50:00,5.0,7.9,25.5,37.9, C
2022-02-11 08:55:00,5.2,8.3,25.7,37.5, C
2022-02-11 09:00:00,6.7,11.1,26.0,37.2, C
2022-02-11 09:05:00,6.9,11.0,26.4,36.3, C
2022-02-11 09:10:00,5.9,9.6,27.1,35.3, C
2022-02-11 09:15:00,5.6,9.6,27.6,34.1, C
2022-02-11 09:20:00,6.0,9.5,27.8,33.9, C
2022-02-11 09:25:00,6.4,9.8,27.9,33.4, C
2022-02-11 09:30:00,6.9,11.2,28.0,33.5, C
2022-02-11 09:35:00,5.3,9.0,28.1,33.2, C
2022-02-11 09:40:00,6.1,10.4,28.3,32.8, C
2022-02-11 09:45:00,6.4,10.1,28.7,32.4, C
2022-02-11 09:50:00,7.2,11.6,29.2,31.6, C
2022-02-11 09:55:00,6.5,11.1,29.6,30.5, C
2022-02-11 10:00:00,8.0,12.7,29.6,29.8, C
2022-02-11 10:05:00,6.0,9.3,29.7,29.5, C
2022-02-11 10:10:00,6.1,9.3,30.2,28.9, C
2022-02-11 10:15:00,8.1,14.1,30.9,28.3, C
2022-02-11 10:20:00,7.5,12.5,31.3,28.1, C
2022-02-11 10:25:00,8.8,14.4,31.6,28.0, C
2022-02-11 10:30:00,8.8,15.1,31.6,28.2, C
2022-02-11 10:35:00,8.1,13.4,31.8,28.1, C
2022-02-11 10:40:00,6.3,10.1,31.9,27.8, C
2022-02-11 10:45:00,7.3,12.8,32.4,27.1, C
2022-02-11 10:50:00,7.3,12.0,32.4,26.7, C
2022-02-11 10:55:00,7.0,11.6,32.2,26.8, C
2022-02-11 11:00:00,6.1,9.6,31.6,27.2, C
2022-02-11 11:05:00,6.4,10.3,31.2,27.5, C
2022-02-11 11:10:00,6.6,11.1,31.2,27.2, C
2022-02-11 11:15:00,5.9,10.2,31.2,26.9, C
2022-02-11 11:20:00,5.2,8.2,31.2,26.9, C
2022-02-11 11:25:00,6.2,9.9,31.5,26.7, C
2022-02-11 11:30:00,5.6,9.1,31.5,26.5, C
2022-02-11 11:35:00,6.5,11.6,31.2,26.9, C
2022-02-11 11:40:00,6.0,10.3,31.2,27.0, C
2022-02-11 11:45:00,5.8,9.7,31.0,27.0, C
2022-02-11 11:50:00,7.5,12.7,30.9,27.3, C
2022-02-11 11:55:00,7.9,12.4,30.9,27.1, C
2022-02-11 12:00:00,5.9,9.5,31.6,26.5, C
2022-02-11 12:05:00,6.9,11.6,31.5,26.5, C
2022-02-11 12:10:00,6.6,10.3,31.0,27.0, C
2022-02-11 12:15:00,7.6,13.6,30.4,27.8, C
2022-02-11 12:20:00,6.8,11.0,29.9,28.7, C
2022-02-11 12:25:00,9.6,15.4,29.4,29.4, C
2022-02-11 12:30:00,7.4,12.3,29.0,30.1, C
2022-02-11 12:35:00,7.0,12.0,29.0,30.2, C
2022-02-11 12:40:00,6.6,11.6,28.9,30.0, C
2022-02-11 12:45:00,6.1,9.6,28.8,30.0, C
2022-02-11 12:50:00,5.8,9.7,29.3,29.4, C
2022-02-11 12:55:00,6.5,11.2,30.6,27.8, C
2022-02-11 13:00:00,7.5,12.9,31.6,26.6, C
2022-02-11 13:05:00,6.6,11.3,31.7,26.6, C
2022-02-11 13:10:00,6.5,10.1,31.8,26.5, C
2022-02-11 13:15:00,5.8,10.2,31.7,26.4, C
2022-02-11 13:20:00,5.7,9.1,31.3,26.6, C
2022-02-11 13:25:00,4.7,7.9,30.4,27.4, C
2022-02-11 13:30:00,5.2,8.4,30.3,27.9, C
2022-02-11 13:35:00,5.1,8.2,30.0,28.5, C
2022-02-11 13:40:00,6.0,10.1,29.6,29.3, C
2022-02-11 13:45:00,5.6,9.0,29.5,30.0, C
2022-02-11 13:50:00,5.8,9.4,29.5,30.6, C
2022-02-11 13:55:00,6.1,10.3,29.2,31.4, C
2022-02-11 14:00:00,7.0,12.1,28.9,33.2, C
2022-02-11 14:05:00,6.4,11.1,28.4,36.1, C
2022-02-11 14:10:00,11.2,17.5,27.9,37.4, C
2022-02-11 14:15:00,7.3,12.4,27.7,37.8, C
2022-02-11 14:20:00,6.8,11.2,27.3,38.2, C
2022-02-11 14:25:00,6.1,10.1,27.2,38.1, C
2022-02-11 14:30:00,7.7,13.4,27.0,38.1, C
2022-02-11 14:35:00,6.6,11.2,26.7,38.5, C
2022-02-11 14:40:00,6.9,11.2,26.6,38.9, C
2022-02-11 14:45:00,4.9,8.3,26.4,39.1, C
2022-02-11 14:50:00,5.1,9.1,26.1,39.6, C
2022-02-11 14:55:00,4.9,8.5,25.9,39.9, C
2022-02-11 15:00:00,5.1,8.4,25.5,40.6, C
2022-02-11 15:05:00,5.5,9.5,25.2,41.4, C
2022-02-11 15:10:00,5.5,8.8,25.1,41.5, C
2022-02-11 15:15:00,5.9,10.2,24.9,41.9, C
2022-02-11 15:20:00,4.8,8.1,24.6,42.3, C
2022-02-11 15:25:00,4.1,6.6,24.8,42.3, C
2022-02-11 15:30:00,3.6,6.1,24.7,42.5, C
2022-02-11 15:35:00,3.5,5.7,24.4,42.8, C
2022-02-11 15:40:00,3.1,5.3,24.0,43.9, C
2022-02-11 15:45:00,3.0,4.6,23.9,44.1, C
2022-02-11 15:50:00,3.4,5.5,24.1,43.7, C
2022-02-11 15:55:00,3.0,5.3,24.3,42.9, C
2022-02-11 16:00:00,3.2,5.0,24.1,42.9, C
2022-02-11 16:05:00,3.2,5.7,23.9,43.3, C
2022-02-11 16:10:00,3.4,6.0,23.7,43.2, C
2022-02-11 16:15:00,3.3,5.4,23.6,43.5, C
2022-02-11 16:20:00,2.7,4.4,23.3,44.2, C
2022-02-11 16:25:00,2.8,5.5,22.9,44.9, C
2022-02-11 16:30:00,2.6,4.8,22.6,45.2, C
2022-02-11 16:35:00,3.1,4.7,22.1,46.5, C
2022-02-11 16:40:00,2.4,4.3,21.8,46.9, C
2022-02-11 16:45:00,2.3,4.3,21.7,47.1, C
