DATE,PM2.5,PM10,TEMP,HUMI,TEMP_UNIT
 
2022-02-08 08:30:00,2.4,4.0,20.3,40.7, C
2022-02-08 08:35:00,2.7,5.4,20.3,40.9, C
2022-02-08 08:40:00,2.9,3.9,20.4,40.7, C
2022-02-08 08:45:00,2.2,2.7,19.0,44.6, C
2022-02-08 08:50:00,2.1,3.3,19.9,42.1, C
2022-02-08 08:55:00,3.4,5.5,20.8,41.0, C
2022-02-08 09:00:00,2.3,4.0,20.2,41.8, C
2022-02-08 09:05:00,2.3,3.9,20.2,42.1, C
2022-02-08 09:10:00,2.7,4.9,20.5,41.5, C
2022-02-08 09:15:00,2.5,4.5,20.6,40.5, C
2022-02-08 09:20:00,3.4,5.1,21.1,40.0, C
2022-02-08 09:25:00,2.8,4.8,20.7,41.0, C
2022-02-08 09:30:00,1.8,2.9,21.0,39.9, C
2022-02-08 09:35:00,1.7,2.5,19.0,43.8, C
2022-02-08 09:40:00,2.6,4.6,21.0,39.7, C
2022-02-08 09:45:00,2.5,4.4,21.6,38.9, C
2022-02-08 09:50:00,1.7,3.1,21.2,39.3, C
2022-02-08 09:55:00,2.3,4.0,21.5,38.9, C
2022-02-08 10:00:00,1.8,3.1,20.5,39.8, C
2022-02-08 10:05:00,2.1,3.5,22.1,37.2, C
2022-02-08 10:10:00,1.5,2.5,20.9,38.5, C
2022-02-08 10:15:00,2.0,3.5,22.6,36.0, C
2022-02-08 10:20:00,2.4,4.1,22.4,36.2, C
2022-02-08 10:25:00,1.7,3.2,23.2,35.2, C
2022-02-08 10:30:00,2.0,3.0,23.7,33.9, C
2022-02-08 10:35:00,1.4,2.1,23.0,34.7, C
2022-02-08 10:40:00,2.0,2.9,22.9,34.9, C
2022-02-08 10:45:00,1.6,2.2,22.9,35.0, C
2022-02-08 10:50:00,1.8,3.0,23.3,34.0, C
2022-02-08 10:55:00,2.9,4.7,24.1,32.3, C
2022-02-08 11:00:00,2.8,4.8,24.8,31.8, C
2022-02-08 11:05:00,1.8,3.0,24.3,32.9, C
2022-02-08 11:10:00,2.5,4.1,24.4,32.4, C
2022-02-08 11:15:00,2.9,4.9,25.0,31.5, C
2022-02-08 11:20:00,2.8,4.2,25.2,31.3, C
2022-02-08 11:25:00,2.7,4.4,25.6,30.4, C
2022-02-08 11:30:00,3.1,4.9,25.7,30.4, C
2022-02-08 11:35:00,2.3,3.5,25.8,30.4, C
2022-02-08 11:40:00,2.0,3.6,25.7,30.1, C
2022-02-08 11:45:00,2.8,4.5,26.1,30.2, C
2022-02-08 11:50:00,2.5,4.3,25.8,30.4, C
2022-02-08 11:55:00,2.9,4.4,25.8,30.0, C
